source_id,reference,evidence_type,scope,key_finding,critical_limit,p2_implication,access_status
P2E01,AraLearn didactic model and non-punitive study state at commit 9bff37e,implemented product evidence,"microsequence, prerequisites, authored review, worked examples, fading, learner choice, interruption and offline resumption",AraLearn uses author-ordered microsequences with explicit dependencies; structural completion is not mastery; review is authored or learner-marked; examples and support are placed manually; a local cursor supports resumption without attempt or time telemetry.,"One situated personal profile; no automated scheduler, mastery gate, calibrated equivalent-item bank, or formal institutional course policy.","Preserve as reference values while separating structural progress, mastery, sequencing, review, support and resumption into independent dimensions.",primary documentation and source-grounded audit verified
P2E02,ARA Package P1 / PR #45,decision synthesis,"practice, response, attempts, reveal, feedback, consequences and accessibility precedence","P1 accepted composable practice dimensions and deferred mastery, progression, equivalent-item evidence and review sequencing to P2.","Does not define progression, scheduling or support policies.","P2 must use practice purpose, retry target, hint access, consequence level and accessibility precedence without altering P1.",repository artifacts verified
P2E03,"Kulik, Kulik & Bangert-Drowns (1990), Effectiveness of Mastery Learning Programs, DOI 10.3102/00346543060002265",meta-analysis,"108 controlled evaluations across upper elementary, secondary and college education","Mastery-learning programs improved examination performance and attitudes, often benefiting weaker learners, but increased instructional time and self-paced college implementations sometimes reduced completion.","Older and heterogeneous interventions; mastery procedures, designs and content varied substantially.","Mastery is a defensible optional progression policy, but threshold, remediation, pace, completion risk and override must be explicit.",publisher abstract and institutional metadata verified
P2E04,"Cook et al. (2013), Mastery Learning for Health Professionals Using Technology-Enhanced Simulation, DOI 10.1097/ACM.0b013e31829a365d",systematic review and meta-analysis,82 simulation-based mastery studies in health professions,"Mastery simulation was associated with large skill effects versus no intervention and moderate patient-outcome effects; implementations combined standards, repetition, feedback and variable learning time.",High-cost simulation and health-profession context; package components cannot be isolated cleanly.,"Progression claims must record domain, criterion, feedback, repetition and evidence type rather than a generic mastery flag.",PubMed abstract verified
P2E05,"Pérez & Verdín (2023), A Systematic Literature Review for Mastery Learning in Undergraduate Engineering Courses",systematic literature review,23 undergraduate engineering mastery-learning articles,"Implementations varied widely, often centered on reassessment; students generally preferred mastery approaches, while learning and instructor-burden evidence remained inconsistent.","Small heterogeneous corpus, varied instruments and limited causal evidence.","Formal-course mastery profiles need workload, reassessment, deadline and completion policies; no universal threshold or grading model.",author/institutional full-text and metadata verified
P2E06,"Matayoshi et al. (2025), Using a Randomized Experiment to Compare Mastery Learning Thresholds, DOI 10.5281/zenodo.15698758",randomized field experiment,two mastery thresholds in ALEKS with retention and struggle moderators,"A higher threshold reduced forgetting initially, but the difference diminished over time and varied by struggle and subject; higher thresholds also create overpractice risk.","Vendor-specific scoring rules, mathematical topics and proprietary adaptive context.","Threshold is a versioned parameter tied to estimator, evidence and horizon; ARA must not encode a universal number-correct rule.",open JEDM article verified
P2E07,"Karich, Burns & Maki (2014), Updated Meta-Analysis of Learner Control Within Educational Technology, DOI 10.3102/0034654314526064",meta-analysis,"18 studies, 29 effects and 3,618 learners","Overall learner control had near-zero average academic effects; pace, sequence, practice and review control were not uniformly beneficial.","Older technology, small corpus and heterogeneous definitions of control.","Separate pace, order, practice and review authority; learner control should be supported and bounded rather than an all-or-nothing product principle.",publisher and ERIC abstracts verified
P2E08,"Tabbers & de Koeijer (2010), Learner Control in Animated Multimedia Instructions, DOI 10.1007/s11251-009-9119-4",controlled experiment,learner-paced versus system-paced multimedia instruction,"Learner pacing improved transfer but substantially increased time on task, with large individual differences in control use.",Single multimedia context and time-efficiency trade-off.,Pacing authority and time budget must be distinct; learner pace can be default without implying unrestricted sequence control.,open full text and ERIC record verified
P2E09,"Rey et al. (2019), A Meta-Analysis of the Segmenting Effect, DOI 10.1007/s10648-018-9456-4",meta-analysis,56 investigations and 88 pairwise comparisons,"Meaningful segmentation produced small-to-medium retention and transfer benefits and lower cognitive load, while increasing learning time.",Mostly multimedia instructions; segment quality and prior knowledge varied.,"Segment boundaries, coherence and control require parameters; micro-units must preserve continuity rather than become arbitrary fragments.",publisher metadata and abstract verified
P2E10,"Mawson & Kang (2025), The Distributed Practice Effect on Classroom Learning, DOI 10.3390/bs15060771",systematic review and meta-analysis,"22 reports, 31 effects and more than 3,000 learners in authentic classrooms","Distributed practice moderately outperformed massed practice; effects varied by retention interval, education level, re-exposures and implementation.",Only 22 applied reports and limited moderator power.,"Review schedule is accepted, but interval pattern, target horizon, number of exposures and domain remain explicit; no universal schedule.",open full text and PubMed verified
