parameter_id,family,label,definition,maturity,aralearn_relationship,aralearn_value,allowed_values,scope,controlling_authority,precedence,evidence_status,recommendation,dependencies,incompatibilities,analytics_implication,accessibility_implication,downstream_handoff
protocol.purpose,protocol,Finalidade do protocolo,"Pergunta educacional ou operacional específica que autoriza a condição, os dados e as análises.",accepted,absent,,personal-support|formative-improvement|comparative-research|evaluation|quality-assurance|operations,protocol|deployment,researcher|learner|institution,rights > consent > protocol > institution,supported,Exigir finalidade explícita e proibir coleta para uso futuro indeterminado.,condition.definition|data.purpose_binding,purpose absent or broader than consent,Defines all permitted observables and interpretations.,Purpose text must be accessible and understandable.,#5|#6|#8
protocol.version_lock,protocol,Bloqueio de versão,"Versões de conteúdo, configuração, instrumentos e regras mantidas fixas em uma condição.",accepted,absent,,none|content-only|configuration-only|instrument-only|full-condition,condition|course-version,research-protocol|institution,protocol > institution > author,supported,Registrar snapshot verificável para comparação e reprodução.,condition.assignment|provenance.snapshot,silent mutation during study,Version changes invalidate direct comparison unless modeled.,"Accessible variants may require qualified equivalence, not silent replacement.",#5|#6|#7
condition.definition,condition,Definição da condição,"Conjunto versionado de conteúdo, configuração, capacidades, instrumentos e políticas aplicado a participantes ou sessões.",accepted,absent,,personal-profile|single-condition|between-participant|within-participant|factorial|adaptive-candidate,condition,researcher|institution,rights > consent > protocol,supported,Tratar condição como objeto explícito e reproduzível.,protocol.version_lock|condition.assignment,condition without snapshot,Condition is the unit for treatment interpretation.,Accommodations must be represented separately from experimental manipulation.,#5|#6
condition.assignment,condition,Atribuição à condição,"Regra pela qual participantes, sessões ou unidades recebem uma condição.",accepted,absent,,self-select|random|blocked-random|cluster|counterbalanced|quasi-experimental|author-assigned|external,condition|participant,research-protocol|institution,consent > protocol > institution,supported,"Registrar método, unidade e exceções; não chamar randomizado sem randomização verificável.",participant.eligibility|protocol.version_lock,assignment changed after outcome without record,Assignment determines valid comparisons.,Assignment process and materials must be accessible.,#5|#6
participant.eligibility,participant,Elegibilidade,"Critérios de inclusão, exclusão e retirada aplicados a participantes.",accepted,absent,,open|criteria-based|invited|cohort|external-registry,protocol|participant,researcher|institution|participant,rights > consent > protocol,supported,Registrar critérios e justificativa; evitar proxies discriminatórios.,consent.status|participant.identity_mode,opaque automated exclusion,Eligibility affects generalizability and fairness.,Disability cannot be excluded merely because tooling is inaccessible.,#5|#6|#8
participant.identity_mode,participant,Modo de identidade,Nível de identificação mantido no protocolo e nos dados.,accepted,absent,,anonymous|pseudonymous|identified|external-linkage|personal-only,protocol|dataset,participant|researcher|institution,law > consent > protocol,supported,Preferir o menor nível suficiente; pseudônimo não equivale a anônimo.,data.access_policy|data.retention,reidentification key without governance,Identity mode affects linkage and disclosure risk.,Accommodation data may require stricter separation.,#5|#6|#7
consent.status,governance,Estado de consentimento,"Estado versionado de informação, autorização, recusa e retirada.",accepted,absent,,not-required-with-legal-basis|pending|granted|declined|withdrawn|expired,participant|protocol,participant|institution|researcher,law/rights > participant > protocol,supported,"Consentimento deve ser específico, compreensível e retirável quando usado como base.",data.purpose_binding|withdrawal.policy,bundled or coerced consent,Consent state constrains permitted data and analyses.,Consent must be accessible and available in relevant languages.,#5|#6|#8
withdrawal.policy,governance,Política de retirada,"Efeitos da retirada sobre participação, dados, artefatos e análises já realizadas.",accepted,absent,,stop-future-collection|delete-identifiable|retain-anonymized|retain-legally-required|case-specific,protocol|participant|dataset,participant|institution|researcher,law > rights > consent > protocol,supported,Explicar efeitos antes da participação e registrar execução.,consent.status|data.retention,withdrawal with punitive consequence,Withdrawal changes analyzable populations and missingness.,Withdrawal path must be accessible and non-retaliatory.,#5|#6|#7|#8
event.authorization,event,Autorização de evento,Regra que permite registrar determinado evento para uma finalidade declarada.,accepted,implicit-value,minimal-functional-state,off|personal-only|protocol-authorized|institution-authorized|operational-only,event-type|condition,learner|research-protocol|institution|product,rights > consent > protocol > institution > product,supported,"Todo evento precisa de pergunta, finalidade, retenção e visibilidade.",protocol.purpose|data.purpose_binding,collect-all default,Event existence does not justify a construct inference.,Assistive-technology events require sensitivity review.,#5|#6|#7
event.semantic_profile,event,Perfil semântico do evento,"Vocabulário e versão usados para descrever atores, ações, objetos e contexto.",accepted,absent,,ARA-core|Caliper-profile|xAPI-profile|extension|operational-observability,event-type|deployment,product|research-protocol,protocol > product > extension,operational-choice,Definir núcleo pequeno; mapear padrões externos sem importar inferências.,event.authorization|provenance.snapshot,same label with different semantics,Cross-deployment comparison requires semantic version equivalence.,Event semantics must not expose sensitive accessibility details unnecessarily.,#5|#7
measure.definition,measure,Definição da medida,"Fórmula, unidade, janela, entradas e tratamento de ausências que transformam eventos ou instrumentos em medida.",accepted,absent,,count|duration|rate|proportion|score|rubric|scale|graph-property|custom-versioned,measure|protocol,researcher|institution|learner-personal,protocol > institution > learner,supported,"Toda medida deve possuir fórmula versionada, unidade e limitações.",event.semantic_profile|missing_data.policy,measure without denominator/window,Measures are not constructs by themselves.,Measures using timed interaction require accommodation review.,#5|#6
construct.definition,construct,Definição do constructo,Conceito teórico que uma ou mais medidas pretendem representar.,accepted,absent,,knowledge|performance|self-regulation|engagement|workload|usability|accessibility|other-declared,protocol|study,researcher|institution,evidence/validity > protocol,supported,"Exigir teoria, evidência de validade e inferências proibidas.",measure.definition|interpretation.rule,construct inferred from single trace,Construct claims require validity evidence and scope.,Construct validity must include accessible response alternatives.,#5|#6
interpretation.rule,interpretation,Regra de interpretação,Afirmações permitidas e proibidas a partir de medidas e constructos.,accepted,absent,,descriptive-only|within-condition|comparative|predictive-candidate|causal-if-design-supports|no-individual-inference,protocol|report|dashboard,research-protocol|institution,validity > protocol > institution,supported,Registrar explicitamente o que os dados não permitem concluir.,construct.definition|analysis.plan,causal claim from observational event,Interpretations control decisions and reporting.,Disability/accommodation must not be treated as deficit.,#5|#6|#8
analysis.plan,analysis,Plano de análise,"Hipóteses, outcomes, modelos, contrastes, ajustes e decisões sobre dados definidos antes ou durante o estudo.",accepted,absent,,exploratory|confirmatory|registered|adaptive-with-rules|qualitative|mixed-method,protocol|study,researcher|reviewer,protocol > researcher,supported,Distinguir exploratório de confirmatório e versionar alterações.,outcome.role|missing_data.policy,HARKing without disclosure,Plan changes must be reported.,Accessible instrument substitutions require planned handling.,#5
outcome.role,analysis,Papel do outcome,"Classificação de outcomes primários, secundários, exploratórios e de segurança/efeitos adversos.",accepted,absent,,primary|secondary|exploratory|process|harm|implementation,protocol|measure,research-protocol,protocol,supported,Evitar seleção retrospectiva não declarada e registrar harms.,measure.definition|analysis.plan,outcome role changed silently,Multiplicity and interpretation depend on role.,Accessibility outcomes should not be relegated automatically to optional status.,#5
