repository_path,bytes,sha256
research/data/aralearn-legacy-concept-decisions-02.csv,3881,1ee011dedb1245ce12a1d07ff4ff861d73296ae028257f2c0b135ce651d887a5
research/data/component-contract-accessibility-security-01.csv,1805,80d7f8bde385e07cf2e928ddfbbc854177c75b8b2e6dc3ecf1be0cf4f901f23b
research/data/component-contract-comparison-01.csv,2569,4a60c9356f10c551deea8721a7d34fa5efa4b1311afd4857a3b1446e95b4fba8
research/data/component-contract-prototype-summary-01.json,1657,132a0367b73dbe1e10e7986524da3c8495ab7d03080e918426d8ad52a8ce8dd4
research/data/component-contract-validation-report-01.json,1310,94f611ba747cd334b12b9c28239e054a12f7d3962ff6430b8ba01f09ed61f49b
research/prototypes/component-contracts-01/README.md,2566,f08905ac10b3dacaf63907c6ff7eb465da1f813de275c10cddabbbd3643a0247
research/prototypes/component-contracts-01/examples/component-instances.json,13329,28cbc91b9f08b6b5b40339c762a6b857a671b547b74e57a384ea7f017e2d4a24
research/prototypes/component-contracts-01/examples/manifests.json,7641,88d7865569fead85d0ae9d9fa31ad97c6737b410b326f929ef2330d018666dc6
research/prototypes/component-contracts-01/examples/microsequences.json,3901,0d13995b540270de5f0e2b4033b7bd5229cb2b11ad5fb58d55b376280f0748e6
research/prototypes/component-contracts-01/examples/validation-scenarios.json,4700,1586bbccfe2b6c88ae01393bb51cfa3263ef8232ed18e1d618191bb679d82346
research/prototypes/component-contracts-01/schemas/common.schema.json,11186,47e88e91cc980a5d251c52f8ee4d53e4b20f5faa6354ce0a8041719593a8c8be
research/prototypes/component-contracts-01/schemas/component-manifest.schema.json,3814,bbbffd0866de378262fd5f3232843ca7cf22e3b84531c679b10f8bb364536317
research/prototypes/component-contracts-01/schemas/executable-programming.schema.json,7048,d131801f9053b4cf0bdc9908a6cd5b593167b3f2b6cbb1954f2c050f37a078d3
research/prototypes/component-contracts-01/schemas/microsequence-prototype.schema.json,2534,5072a7095fc2ffc047f50d81a99303156e9d7bb93a5416cde400d036f6bca5b8
research/prototypes/component-contracts-01/schemas/relational-construction.schema.json,8702,bfbca8de6634af3095f633b0f2dd70519b39f56c31b574be71815897f7e3c247
research/prototypes/component-contracts-01/schemas/semantic-mathematics.schema.json,9447,4be1e27c17b5ba6e1d4be72af01036db81e8b9301d6348d159aeef02d515a8f6
research/prototypes/component-contracts-01/schemas/source-argument.schema.json,8805,5e78bf03d877f051ba3ec38f59991564ad5be0e4ac5351c38b43efc4c5f040fa
research/prototypes/component-contracts-01/validate_examples.py,3455,2a8ddb109784406bc58fad7405103038457d7793dc042f39e1eb9066714c8c1d
research/pt-BR/prototipos-contratos-componentes-primeiros-principios-01.md,10800,f39a46f484cc0f357b56e1a642c5c09cde4793454dbc21280407e534ee72075c
research/pt-BR/registro-decisoes-legado-aralearn-prototipos-01.md,3953,af851c1b5010e9a3d704e41bae9a8b998422deb5bdbe5cb10318fe40630adbfd
