parameter_id,family,label,definition,maturity,aralearn_relationship,aralearn_value,allowed_values,scope,controlling_authority,precedence,evidence_status,recommendation,dependencies,incompatibilities,analytics_implication,accessibility_implication,downstream_handoff
authoring.mode,authoring,Modo de autoria,Relação geral entre contribuição humana e assistência automatizada na produção do artefato.,accepted,explicit-value,GPT-assisted-with-human-control,manual|human-AI-collaborative|AI-draft-human-edit|AI-suggestion-only|imported|mixed,workspace|course|microsequence|card,owner|author|institution|research-protocol,rights/accessibility > protocol > institution > owner/author > agent,mixed,Preservar autoria assistida com controle humano; não usar autonomous como valor ativo inicial.,authoring.role|authoring.output_status,autonomous publication without human authority,O modo integra provenance e comparação de condições; não mede qualidade.,Autoria manual ou alternativa deve permanecer disponível quando IA não for acessível.,#5|#6|#7|#8
authoring.entry_channel,authoring,Canal de entrada,Canal pelo qual uma intenção ou alteração é iniciada.,accepted,explicit-value,chat-and-ARA,chat-MCP|ARA-situated-action|manual-form|import|API-candidate|composite,workspace|course|microsequence|card|annotation,owner|author|reviewer|institution,permission > role > user choice,operational-choice,Aceitar chat/MCP e ARA como canais complementares; preservar origem e alvo da solicitação.,authoring.scope|annotation.target,,"Canal pode ser registrado para auditabilidade, não como indicador de competência.",Toda operação crítica precisa de alternativa acessível ao chat ou gesto visual.,#5|#6|#7|#8
authoring.scope,authoring,Escopo de autoria,Unidade sobre a qual a operação atua.,accepted,explicit-value,course-part-and-microsequence,workspace|course|module|lesson|part|microsequence|card|resource|relation|configuration|selection,operation,requester|role-policy,rights > protocol/institution > role > requester,supported,Exigir alvo explícito e permitir seleção de conjuntos sem ampliar silenciosamente o escopo.,,implicit whole-course mutation from a local request,Escopo integra audit trail e custo; não mede dificuldade.,Seleção de alvo deve ser navegável por estrutura e não apenas por canvas visual.,#5|#6|#7|#8
authoring.brief_policy,authoring,Política do brief,"Conteúdo mínimo e versionado que situa objetivo, público, recorte, fontes e decisões.",accepted,explicit-value,public-brief-maintained,none|minimal|course-brief|part-brief|condition-locked|institution-template,workspace|course|condition,owner|author|institution|research-protocol,protocol/institution lock > author,supported,Manter brief versionado e visível; alterações de contexto precisam gerar nova versão ou registro.,authoring.context_snapshot|authoring.source_grounding,,Mudanças do brief são confundidores em comparação e precisam de provenance.,Brief deve ter linguagem clara e alternativas para conteúdo multimodal.,#5|#6|#7|#8
authoring.role,authoring,Papel operacional,Função desempenhada numa etapa de autoria sem confundir identidade com autoridade.,accepted,explicit-value,planner|builder|auditor|repairer|reauditor|publisher,planner|builder|auditor|repairer|reauditor|reviewer|approver|publisher|administrator|observer,operation|workspace,institution|workspace-policy|owner,rights > institutional policy > workspace role > requester,supported,"Representar papéis separadamente; o mesmo GPT pode mudar de papel em rodadas distintas, mas não herda aprovação.",governance.separation_of_duties|review.independence,,Papel é provenance de contribuição; não demonstra qualidade.,Papéis e responsabilidades devem ser explicados em linguagem não técnica.,#5|#6|#7|#8
authoring.agent_identity,authoring,Identidade do agente,"Identificação versionada do agente, modelo, ferramenta ou humano que realizou contribuição.",accepted,implicit-value,chatbot-and-user-account,human|GPT-instance|LLM-provider-model|MCP-toolset|service-agent|unknown-import,activity|contribution,system|institution|owner,privacy/security > protocol > provenance requirement,supported,Registrar identidade suficiente para auditabilidade e reprodução sem expor segredo ou conteúdo sensível.,authoring.provenance_capture,unattributed agent contribution in a published artifact,Permite comparar workflows; não autoriza ranking de agentes.,Identificação deve ser textual e compreensível.,#5|#6|#7|#8
authoring.context_scope,authoring,Escopo de contexto,"Conjunto de unidades, cursos, fontes e estados disponibilizados para uma operação.",accepted,implicit-value,target-plus-approved-dependencies,target-only|local-neighborhood|approved-dependencies|selected-prior-courses|source-bundle|workspace-snapshot|custom,operation|workspace|condition,requester|author|institution|research-protocol,confidentiality/consent > protocol > institution > requester,mixed,"Usar contexto mínimo e autorizado, incluindo dependências quando necessário; nunca busca global silenciosa.",authoring.context_authorization|authoring.context_snapshot,cross-workspace context without permission,O contexto usado é necessário para interpretar diferenças entre saídas.,O usuário deve conseguir inspecionar resumo do contexto sem ler dados técnicos.,#5|#6|#7|#8
authoring.context_authorization,authoring,Autorização de contexto,Regra que define quais conteúdos e estados o agente pode ler.,accepted,implicit-value,workspace-and-target-capabilities,owner-selected|workspace-role|course-permission|institution-policy|protocol-lock|public-only|none,workspace|course|operation,owner|institution|research-protocol|access-control,law/confidentiality/consent > protocol > institution > owner,supported,Exigir autorização explícita por escopo e finalidade; memória do chat não concede capacidade.,governance.confidentiality_class|governance.role_model,hidden access inherited from prior conversation,"A autorização integra audit log, não conteúdo de aprendizagem.",Explicações de permissão devem ser claras e acionáveis.,#5|#6|#7|#8
authoring.context_snapshot,authoring,Snapshot de contexto,Registro imutável ou identificável das versões efetivamente usadas pelo agente.,accepted,absent,,none|identifiers-only|version-manifest|source-bundle-hash|full-authorized-snapshot,operation|condition|publication,system|research-protocol|institution|author,privacy/minimisation > protocol > reproducibility > default,supported,Registrar ids/versões e hashes quando necessário; evitar retenção integral de chats por padrão.,authoring.provenance_capture|versioning.revision_policy,,Essencial para reprodução e auditoria de variantes.,Resumo legível deve acompanhar manifestos técnicos.,#5|#6|#7|#8
authoring.source_grounding,authoring,Política de grounding,Nível de exigência de fontes e evidência externa para o conteúdo.,accepted,explicit-value,declared-sources-in-brief,none|author-provided|official-sources|scholarly-sources|mixed-vetted|protocol-fixed|source-unavailable-flag,course|microsequence|card|claim|condition,author|reviewer|institution|research-protocol,protocol/institution > subject-matter authority > author,mixed,Exigir grounding proporcional ao risco e registrar ausência ou acesso parcial; não confundir citação com correção.,authoring.source_anchor_granularity|review.rubric,,"Estado de grounding é atributo de qualidade/provenance, não outcome educacional.",Fontes e locators precisam ser navegáveis e ter descrição.,#5|#6|#7|#8
