repository_path,bytes,sha256
research/data/component-contract-amendment-decisions-02.csv,1893,c270d7f17117a84e1dfa4ec6540065ea27fa2bdf5845133cc99320bbdd4ec0a0
research/data/component-contract-v02-summary.json,1771,ada1236408f3be35e683c669d39c0ac8f8efe72f31e9b18b86a0c7992e20a16e
research/data/component-contract-v02-validation-report.json,868,8a4daa390442c92c37a67ceedb21a5ea3b49b0a2886362d1a3c7d5b4c703f9b0
research/data/external-adapter-comparison-01.csv,1021,4f77f55654ee07c945c8bc3612b01e0f2ec77eee58ff545b470f8d34e55b8f14
research/data/external-adapter-license-risk-02.csv,845,40b29ceb953ee43f05249de84fe3a9cc7f37e1b4fd50bb1b356fbd5c1ec9e5b8
research/data/external-adapter-package-status-01.csv,713,2b2320ec4bdb7835f6b8d28644864918695b422855d03513f3575a7c7bf75069
research/data/programming-execution-deployment-profiles-01.csv,1612,a512a368e7efe59bcc64c6907f3b80e68ef7254f85c1f9f4f6fc850c51f63a99
research/prototypes/component-contracts-02/README.md,2002,5a754b7d656ad6a746d56d3739d7e400a861c11da604cc9ecece0457ab8c9107
research/prototypes/component-contracts-02/examples/instances/executable-programming.json,6758,2e6aa48950323ee458abe840284ebc3937821245a8a50b5a7cb9ed741c80e266
research/prototypes/component-contracts-02/examples/instances/relational-construction.json,6809,76dcfaa1c4da887cb1e989bfc9db01d66f10643b943ac6cfaad2654fb79754be
research/prototypes/component-contracts-02/examples/instances/semantic-mathematics.json,6786,f8f5a91ff9b537ed5225220391654439ed45fc27451df2f09072337e8e339c65
research/prototypes/component-contracts-02/examples/instances/source-argument.json,7688,22a79a4b8229a877c1d7531018d977cbd96808c0b93873fff8cea36f36f67df2
research/prototypes/component-contracts-02/examples/manifests/executable-programming.json,4799,66463e317b05cdfd6e2bdd3110ee66ebcdee70c9879462dfbd1c2e40f5f5a42f
research/prototypes/component-contracts-02/examples/manifests/relational-construction.json,4184,1887bd591ce9c825c414f3ebf987279f888c94b80490b17fb6a85f8c8fbdd37c
research/prototypes/component-contracts-02/examples/manifests/semantic-mathematics.json,4385,9149669f7408001bfbec2c1756b3e4329250a1a9a9927391c1562fdfeaf8e6ea
research/prototypes/component-contracts-02/examples/manifests/source-argument.json,4606,75ec1e4b0eb77db099407c1cea69d2c5cc62081215719ae4c264396827b20483
research/prototypes/component-contracts-02/examples/validation-scenarios.json,3276,d326017aa0065bb63176f890e50dc9e59c95356f411b012f8c02626a4655b7a9
research/prototypes/component-contracts-02/migrations/expected-0.2/executable-programming.json,6343,8fca18899c0e02bf90b5dcd5f86dcd1d5ff52859339f40ac79d5eddcdc3f5743
research/prototypes/component-contracts-02/migrations/expected-0.2/relational-construction.json,6465,69387ed9a497a6f10446ab95595ec32cd9291817b516b6a5bebd3b11356b20fa
research/prototypes/component-contracts-02/migrations/expected-0.2/semantic-mathematics.json,6256,c143c306d33b2aa46f29710fca4c2e0b43191bad0335947f7fed70c69fa70213
research/prototypes/component-contracts-02/migrations/expected-0.2/source-argument.json,7377,34c4230171c7b80c059c8527fe02a4c80a2ef3c6ef4f39da488db992141e9898
research/prototypes/component-contracts-02/migrations/fixtures-0.1/executable-programming.json,3923,b960459d2c69ecba10f1d258267534a2c8e3e1e6d6587f7b30892d99c60c2f93
research/prototypes/component-contracts-02/migrations/fixtures-0.1/relational-construction.json,4507,6ea7c3ebd25bf21690251709a3a0680fe005a018fb15227f804db01e0d601eb5
research/prototypes/component-contracts-02/migrations/fixtures-0.1/semantic-mathematics.json,4288,39c7e15812664621c819488795dedb29c6591b29c0972d239775a2ed66d8e8e4
research/prototypes/component-contracts-02/migrations/fixtures-0.1/source-argument.json,4397,3cbe4fb060e08406103da91b23a7ad4a5f373b66be534092a93159308e1b684a
research/prototypes/component-contracts-02/migrations/migrate-0.1-to-0.2.mjs,10476,35776bf3abbdc8e39e10c629103e246e83028dcc5326a81213033186d538c86a
research/prototypes/component-contracts-02/package-lock.json,308,558c7daf945ec55fb1a6c3707080fb6630c471bb529a214baa8bd3ea69988132
research/prototypes/component-contracts-02/package.json,291,2457858a5637333a5349d4f1a99a95c9ebbafb1a5eb78ce271d66dfac00c4e6f
research/prototypes/component-contracts-02/reports/node-tests.json,563,22b1452ced659a02505c7d5a7a1d3b8f5605ae0cbb25fee4b30ad8b1e35ac607
