id,area,title,classification,decision_needed
R01,versionamento,Tese de versionamento como redutor de burocracia,propor,"Confirmações somente para efeitos externos ou irreversíveis"
R02,versionamento,Diário local checkpoint e revisão durável,propor,"Gatilhos compactação retenção e transições"
R03,versionamento,Semântica do grafo de revisões,propor,"Pais restauração combinação refs e nós bloqueados"
R04,versionamento,Inventário integral de objetos versionados,investigar,"Revisionável imutável derivado temporário ou reconstruível"
R05,versionamento,Granularidade do artefato,investigar,"Microssequência card resource e custo de fragmentação"
R06,versionamento,Snapshots completos no banco,investigar,"CPU WAL índices RLS backup e duplicação"
R07,versionamento,Snapshots completos no object storage,investigar,"Baseline simples duplicação requests restore e diff"
R08,versionamento,Content addressing e manifests,investigar,"Canonicalização digest deduplicação refs integridade e GC"
R09,versionamento,Deltas e patches,adiar,"Cadeias compaction migrations corrupção e acesso aleatório"
R10,versionamento,Operation log híbrido,propor,"Revisões como fonte editorial e operações como proveniência"
R11,versionamento,Versionamento temporal no banco,investigar,"Uso em metadata temporal versus limites para DAG e blobs"
R12,versionamento,Versionamento nativo de bucket,investigar,"Recuperação lifecycle custo e ausência no Supabase Storage"
R13,versionamento,Git real e camada Git-like,investigar,"Exportação zero-copy derivation e incompatibilidades de produto"
R14,versionamento,Fronteira banco artifact local,propor,"Responsabilidades transações integridade e recuperação"
R15,versionamento,Impacto no banco de dados,investigar,"Linhas arestas índices autorização invalidations WAL CPU e backup"
R16,versionamento,Impacto no object storage,investigar,"GB object count requests latência órfãos lifecycle e restore"
R17,versionamento,Projeções e front-end do histórico,propor,"Read models paginação grafo diff acesso e pesquisa"
R18,versionamento,Contexto vertical e horizontal,propor,"Índices seleção orçamento e justificativa para LLM"
R19,versionamento,Retenção GC e research holds,propor,"Classes referências bloqueios rollback e exclusão física"
R20,versionamento,Workload custo BaaS e ADR,investigar,"10k 100k 1M revisões deployments e decisão medida"
