parameter_id,family,label,definition,maturity,aralearn_relationship,aralearn_value,allowed_values,scope,controlling_authority,precedence,evidence_status,recommendation,dependencies,incompatibilities,analytics_implication,accessibility_implication,downstream_handoff
progression.mode,progression,Modo de progressão,Regra geral pela qual uma unidade pode ser considerada avançada no percurso.,accepted,explicit-value,structural-completion,structural-completion|criterion-gated|author-release|institution-release|protocol-release|open-navigation,card|microsequence|lesson|course|condition,author|institution|research-protocol|learner,rights/accessibility > consent > protocol > institution > author > learner > default,mixed,Separar avanço estrutural de mastery; usar structural-completion no perfil AraLearn.,progression.status_semantics|progression.evidence_basis,criterion-gated without declared evidence or remediation,Progression events do not establish learning unless the governing criterion says so.,Locks and alternative paths must be operable with assistive technology.,#5|#6|#8
progression.status_semantics,progression,Semântica do estado,"Significado formal de estados como não iniciado, em andamento, concluído, proficiente ou dominado.",accepted,implicit-value,not-started|in-progress|structurally-complete,not-started|available|in-progress|structurally-complete|criterion-met|mastery-claimed|released|expired,card|microsequence|lesson|course|condition,author|institution|research-protocol,protocol/institution may lock labels; product must preserve distinction between structural and evidential states,supported,"Proibir que complete, mastered e passed sejam sinônimos implícitos.",progression.mode|progression.evidence_basis,mastery-claimed without criterion and evidence scope,State transitions need interpretation rules before aggregation.,Status labels and visual states need non-color alternatives.,#5|#6|#8
progression.evidence_basis,progression,Base de evidência da progressão,Tipo de evidência exigida para liberar ou recomendar avanço.,accepted,absent,,none|structural-action|valid-response|correct-response|multiple-responses|equivalent-item|transfer-item|human-review|external-assessment|composite,card|microsequence|lesson|course|condition,author|institution|research-protocol,accessibility accommodation may alter response form but must preserve or qualify construct,mixed,Exigir valor explícito em qualquer progression.mode diferente de open/structural.,progression.criterion|review.item_relation|evaluation.authority,mastery claim from structural completion alone,Evidence basis determines permitted inference and comparison.,Equivalent accessible evidence may replace an inaccessible response mode with annotation.,#5|#6
progression.criterion,progression,Critério de progressão,Regra versionada que decide se a evidência é suficiente.,accepted,absent,,none|single-valid|single-correct|count|streak|proportion|rubric-threshold|human-judgement|external-result|composite-rule,microsequence|lesson|course|condition,author|institution|research-protocol,protocol/institution locks; author controls ordinary courses; learner cannot weaken locked criterion,mixed,"Aceitar a dimensão, rejeitar threshold universal; registrar versão, janela e domínio.",progression.evidence_basis|progression.recheck_policy,"criterion without source, version or horizon",Threshold changes invalidate direct comparisons unless versioned.,Timed criteria require accommodation and construct review.,#5|#6|#7
progression.evidence_scope,progression,Escopo da evidência,Unidade conceitual e temporal à qual o critério se aplica.,accepted,absent,,current-item|item-set|microsequence|concept|operation|prerequisite-cluster|course-outcome|external-credential,microsequence|lesson|course|condition,author|institution|research-protocol,narrower scope cannot silently justify broader mastery claim,supported,Declarar escopo; mastery local não deve virar habilidade global.,progression.criterion|review.target_horizon,none,Scope is required for valid outcome aggregation.,Accommodation effect must be recorded at the same scope.,#5|#6
progression.remediation_policy,progression,Política de remediação,Ação oferecida quando o critério não é atendido.,accepted,implicit-value,continue-or-reveal-without-penalty,none|retry-same|equivalent-item|worked-example|hint-ladder|targeted-review|prerequisite-review|human-support|alternate-path|defer,card|microsequence|lesson|course|condition,author|institution|research-protocol|learner,safety/accessibility > protocol > institution > author; learner chooses among permitted options,supported,Toda hard gate deve possuir remediação e saída segura.,progression.criterion|examples.availability|scaffolding.access_policy,hard lock with no remediation or appeal,Remediation actions must not be interpreted as deficit without protocol.,Alternate paths must remain accessible and offline-aware.,#5|#6|#8
progression.override_policy,progression,Política de override,"Quem pode liberar, adiar ou contornar uma restrição de progressão e com que registro.",accepted,absent,,none|learner-soft-override|author-override|reviewer-override|institution-override|protocol-exception|accessibility-override,microsequence|lesson|course|condition|learner-accommodation,learner|author|reviewer|institution|research-protocol|accessibility-rule,accessibility/legal > consent > protocol exception > institution > author > learner,operational-choice,"Permitir override explícito, nunca bypass silencioso.",progression.mode|sequencing.prerequisite_policy,silent bypass or irreversible lock without appeal,"Override is a governance event, not evidence of mastery.",Accessibility override may be mandatory and sensitive.,#5|#6|#8
progression.recheck_policy,progression,Política de rechecagem,"Quando um estado evidencial precisa ser confirmado, expira ou pode ser revisto.",accepted,absent,,never|on-reentry|after-fixed-delay|after-review-cycle|before-dependent-unit|protocol-specified|institution-specified,concept|microsequence|lesson|course|condition,author|institution|research-protocol,protocol/institution locks; learner may request recheck in personal profile,mixed,Separar mastery claim de permanência; permitir rechecagem sem apagar história.,review.schedule_policy|review.target_horizon,permanent mastery inferred from one event,Rechecks may support retention estimates only with declared design.,Recheck burden and timing need accommodation.,#5|#6
sequencing.authority,sequencing,Autoridade sobre a sequência,Agente que determina a ordem efetiva das unidades disponíveis.,accepted,implicit-value,author-with-learner-selection,author|learner|institution|research-protocol|adaptive-rule|shared-control,course|condition|learner,author|learner|institution|research-protocol|adaptive-rule,accessibility/legal > protocol > institution > author > learner > default > technical availability,mixed,Separar autoridade de sequência de controle de ritmo; shared-control é recomendado para perfis pessoais guiados.,sequencing.order_policy|pacing.authority,learner-control treated as universally beneficial,Sequence changes must be identifiable in research conditions.,Navigation order and alternatives must remain keyboard/screen-reader accessible.,#5|#6|#8
sequencing.prerequisite_policy,sequencing,Política de pré-requisitos,Força e comportamento das dependências entre unidades.,accepted,explicit-value,declared-soft-dependencies,none|informational|recommended|soft-lock|hard-lock|conditional-lock,microsequence|lesson|course|condition,author|institution|research-protocol,accessibility exception > protocol > institution > author; learner may override only soft policies,mixed,Usar dependências explícitas; hard lock não deve ser default pessoal.,progression.mode|progression.remediation_policy,"cycles, dead ends or unavailable prerequisite without alternative",Prerequisite violations are not automatically failure events.,Locks require accessible explanation and recovery path.,#6|#7|#8
sequencing.order_policy,sequencing,Política de ordenação,Estrutura usada para organizar unidades disponíveis.,accepted,explicit-value,fixed-authored-order,fixed-authored|prerequisite-topological|recommended-path|learner-reordered|calendar-based|adaptive-ranked|protocol-fixed,course|lesson|condition|learner,author|learner|institution|research-protocol|adaptive-rule,protocol/institution > author > learner within permitted space,mixed,Preservar ordem autoral como referência; admitir recomendação e reordenação sem confundir com mastery.,sequencing.authority|sequencing.prerequisite_policy,adaptive-ranked without transparency or fallback,Order is a condition variable in comparative studies.,Alternative order must preserve equivalent access to required content.,#5|#6|#7|#8
sequencing.branching_policy,sequencing,Política de ramificação,"Como o percurso oferece caminhos alternativos após escolha, evidência ou contexto.",accepted,absent,,none|learner-choice|diagnostic-branch|remediation-branch|enrichment-branch|role-branch|protocol-branch,microsequence|lesson|course|condition,author|institution|research-protocol|learner,protocol/institution locks branches; learner selects among visible permitted paths,design-hypothesis,Aceitar como dimensão; adiar branching adaptativo automático.,progression.evidence_basis|sequencing.authority,opaque branch or branch without return path,Branch assignment can confound outcomes and must be recorded when studied.,Branches need equivalent navigation and clear rejoin semantics.,#5|#6|#7|#8
sequencing.interleaving_policy,sequencing,Política de intercalação,"Modo de alternar categorias, operações ou tópicos para promover discriminação.",accepted,implicit-value,authored-after-foundation,none|blocked-foundation|fixed-interleaving|similarity-based|mixed-review|protocol-defined|learner-selected,microsequence|lesson|course|condition,author|research-protocol|institution,protocol > institution > author; learner may choose only when unlocked,mixed,Intercalar somente com objetivo discriminativo e domínio plausível; não usar universalmente.,review.item_relation|sequencing.order_policy,random mixing without category model or prerequisite foundation,Interleaving must be separated from spacing in analysis.,Mixed categories need accessible labels and orientation.,#5|#6
sequencing.snapshot_policy,sequencing,Snapshot da sequência efetiva,"Registro versionado da ordem, locks, ramificações e overrides aplicados a uma execução.",accepted,absent,,none|course-version|condition-snapshot|learner-effective-snapshot,course|condition|learner,product|institution|research-protocol,protocol/institution for locked runs; product for personal state,operational-choice,Exigir snapshot para pesquisa e comparação; opcional em uso pessoal simples.,sequencing.authority|progression.override_policy,research comparison without effective sequence record,Needed to reproduce conditions without storing unnecessary behavior.,Snapshot must avoid sensitive labels unless required.,#5|#6|#7
pacing.authority,pacing,Autoridade sobre o ritmo,"Quem controla quando avançar, pausar e retomar dentro dos limites da sequência.",accepted,explicit-value,learner-paced,learner-paced|author-paced|calendar-paced|institution-paced|protocol-paced|shared,card|microsequence|lesson|course|condition,learner|author|institution|research-protocol,accessibility > protocol > institution > author > learner,mixed,Usar learner-paced no perfil AraLearn; não inferir que isso autoriza reordenar conteúdo.,pacing.deadline_policy|segmentation.control,system pacing without pause or accommodation,Pacing affects time and exposure; record only when decision-relevant.,Pause and replay controls are accessibility requirements in relevant media.,#5|#6|#8
pacing.deadline_policy,pacing,Política de prazo e disponibilidade,"Como datas, janelas e ritmo institucional limitam o percurso.",accepted,absent,,none|advisory-due-date|soft-window|hard-window|cohort-release|protocol-window|rolling-window,course|lesson|condition,institution|research-protocol|author,accessibility and approved exceptions may extend; protocol windows require documented deviation,operational-choice,Aceitar para contextos formais; manter none no perfil pessoal.,progression.override_policy|review.deferral_policy,hard expiry that destroys local study state,"Deadlines are consequences/policies, not mastery evidence.",Extensions and time-zone behavior require accessible implementation.,#5|#6|#8
review.trigger,review,Gatilho de revisão,Evento ou decisão que cria uma oportunidade de revisão.,accepted,explicit-value,author-placement|learner-mark,none|author-placement|learner-mark|calendar|criterion-result|recheck-due|prerequisite-use|protocol-assignment|institution-assignment|adaptive-recommendation,card|concept|microsequence|course|condition|learner,learner|author|institution|research-protocol|adaptive-rule,protocol/institution > author > learner; adaptive only when authorized,supported,Manter marcação do estudante e retomadas autorais; aceitar outros gatilhos sem coleta automática.,review.schedule_policy|progression.recheck_policy,hidden trigger based on unauthorized telemetry,Trigger source must be known before interpreting review participation.,Learner-marked review is private unless shared explicitly.,#5|#6
review.schedule_policy,review,Política de agenda de revisão,Como oportunidades de revisão são distribuídas no tempo ou percurso.,accepted,implicit-value,authored-manual,none|authored-manual|fixed-intervals|equal-spacing|expanding-spacing|milestone-based|calendar-rule|protocol-defined|adaptive-candidate,course|concept|condition|learner,author|learner|institution|research-protocol|adaptive-rule,research protocol/institution > author > learner; adaptive candidate not normative,supported,Aceitar agenda explícita; adiar escolha de algoritmo adaptativo para #6/#7.,review.interval_pattern|review.target_horizon|review.load_budget,adaptive scheduler treated as evidence-based universal default,Schedule must be versioned in research conditions.,Offline queue must preserve due items without coercive notifications.,#5|#6|#7|#8
review.interval_pattern,review,Padrão de intervalos,Representação dos intervalos entre exposições ou recuperações.,accepted,absent,,none|fixed-list|equal|expanding|contracting|mixed|rule-derived,concept|course|condition|learner,author|institution|research-protocol,protocol locks; author controls ordinary course; learner may customize personal profile,mixed,Não escolher equal ou expanding universalmente; registrar unidade e origem.,review.schedule_policy|review.target_horizon,"interval without unit, exposure definition or retention goal",Interval pattern is not meaningful without outcome horizon.,Time-based rules need locale and accessibility safeguards.,#5|#6
review.target_horizon,review,Horizonte de retenção,Período ou marco para o qual a revisão pretende sustentar disponibilidade do conhecimento.,accepted,absent,,unspecified|session|days|weeks|months|course-end|exam-date|practice-date|long-term|protocol-defined,concept|course|condition|learner,author|institution|research-protocol|learner,protocol/institution > author > learner in personal use,supported,Exigir em qualquer recomendação de spacing; permitir unspecified apenas em perfil manual simples.,review.schedule_policy|progression.recheck_policy,claim of optimal interval without horizon,Outcome timing must match the declared horizon.,Date targets need time-zone and calendar accessibility.,#5|#6
review.load_budget,review,Orçamento de revisão,"Limite de carga por sessão, dia, janela ou fila.",accepted,absent,,none|item-count|estimated-duration|priority-cap|course-cap|learner-cap|protocol-cap,course|condition|learner,learner|author|institution|research-protocol|accessibility-rule,accessibility/health > protocol > institution > author > learner,design-hypothesis,Aceitar como dimensão de frugalidade; não usar tempo estimado como medida de esforço.,review.schedule_policy|review.deferral_policy,unbounded mandatory queue,Queue load must not become an inferred engagement metric.,"Learner needs pause, defer and reduced-load accommodations.",#5|#6|#8
review.deferral_policy,review,Política de adiamento,"Como o estudante pode adiar, ignorar ou redistribuir revisões.",accepted,absent,,not-applicable|free-defer|limited-defer|reschedule|snooze|author-approved|institution-approved|protocol-restricted,review-item|session|course|condition|learner,learner|author|institution|research-protocol|accessibility-rule,accessibility > protocol > institution > author > learner,operational-choice,Free-defer no perfil pessoal; restrições somente em curso/protocolo explícito.,review.load_budget|pacing.deadline_policy,penalty inferred from defer in non-consequential study,Deferral is not evidence of disengagement or deficit.,Deferral controls must be reachable and understandable.,#5|#6|#8
review.item_relation,review,Relação entre item de revisão e evidência anterior,Grau de identidade ou transferência entre oportunidades.,accepted,implicit-value,same-concept-varied-instance,same-item|surface-variant|equivalent-item|near-transfer|far-transfer|mixed-set|human-selected,card|concept|condition,author|research-protocol|institution,protocol > institution > author; learner can request variation in personal profile,mixed,"Distinguir repetição, equivalente e transferência; não declarar mastery por item idêntico apenas.",progression.evidence_basis|sequencing.interleaving_policy,equivalence claimed without domain rule or review,Required to interpret retention and transfer outcomes.,Equivalent accessible item may change modality with construct annotation.,#5|#6
